Serial init OK
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist⸮Serial init OK
Dist: 0 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 195 cm
Dist: 195 cm
Dist: 197 cm
Dist: 199 cm
Dist: 199 cm
Dist: 199 cm
Dist: 199 cm
Dist: 211 cm
Dist: 208 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 194 cm
Dist: 196 cm
Dist: 194 cm
Dist: 194 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 222 cm
Dist: 257 cm
Dist: 257 cm
Dist: 257 cm
Dist: 272 cm
Dist: 270 cm
Dist: 240 cm
Dist: 240 cm
Dist: 250 cm
Dist: 241 cm
Dist: 234 cm
Dist: 234 cm
Dist: 234 cm
Dist: 234 cm
Dist: 205 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 210 cm
Dist: 210 cm
Dist: 210 cm
Dist: 210 cm
Dist: 198 cm
Dist: 182 cm
Dist: 182 cm
Dist: 182 cm
Dist: 182 cm
Dist: 195 cm
Dist: 201 cm
Dist: 209 cm
Dist: 224 cm
Dist: 243 cm
Dist: 250 cm
Dist: 250 cm
Dist: 250 cm
Dist: 250 cm
Dist: 228 cm
Dist: 223 cm
Dist: 223 cm
Dist: 223 cm
Dist: 229 cm
Dist: 221 cm
Dist: 221 cm
Dist: 239 cm
Dist: 239 cm
Dist: 258 cm
Dist: 262 cm
Dist: 261 cm
Dist: 262 cm
Dist: 262 cm
Dist: 245 cm
Dist: 245 cm
Dist: 245 cm
Dist: 245 cm
Dist: 254 cm
Dist: 267 cm
Dist: 267 cm
Dist: 267 cm
Dist: 267 cm
Dist: 325 cm
Dist: 325 cm
Dist: 325 cm
Dist: 325 cm
Dist: 344 cm
Dist: 323 cm
Dist: 334 cm
Dist: 320 cm
Dist: 315 cm
Dist: 319 cm
Dist: 319 cm
Dist: 320 cm
Dist: 320 cm
Dist: 328 cm
Dist: 328 cm
Dist: 328 cm
Dist: 331 cm
Dist: 331 cm
Dist: 330 cm
Dist: 329 cm
Dist: 329 cm
Dist: 324 cm
Dist: 319 cm
Dist: 319 cm
Dist: 319 cm
Dist: 319 cm
Dist: 310 cm
Dist: 304 cm
Dist: 304 cm
Dist: 304 cm
Dist: 306 cm
Dist: 314 cm
Dist: 311 cm
Dist: 312 cm
Dist: 312 cm
Dist: 312 cm
Dist: 308 cm
Dist: 309 cm
Dist: 309 cm
Dist: 308 cm
Dist: 308 cm
Dist: 308 cm
Dist: 307 cm
Dist: 309 cm
Dist: 309 cm
Dist: 309 cm
Dist: 309 cm
Dist: 309 cm
Dist: 309 cm
Dist: 313 cm
Dist: 320 cm
Dist: 320 cm
Dist: 320 cm
Dist: 320 cm
Dist: 322 cm
Dist: 322 cm
Dist: 322 cm
Dist: 322 cm
Dist: 322 cm
Dist: 326 cm
Dist: 325 cm
Dist: 325 cm
Dist: 326 cm
Dist: 326 cm
Dist: 326 cm
Dist: 326 cm
Dist: 326 cm
Dist: 326 cm
Dist: 326 cm
Dist: 327 cm
Dist: 317 cm
Dist: 306 cm
Dist: 307 cm
Dist: 310 cm
Dist: 310 cm
Dist: 310 cm
Dist: 332 cm
Dist: 337 cm
Dist: 337 cm
Dist: 337 cm
Dist: 337 cm
Dist: 337 cm
Dist: 299 cm
Dist: 296 cm
Dist: 296 cm
Dist: 293 cm
Dist: 307 cm
Dist: 289 cm
Dist: 289 cm
Dist: 289 cm
Dist: 289 cm
Dist: 276 cm
Dist: 276 cm
Dist: 261 cm
Dist: 261 cm
Dist: 291 cm
Dist: 281 cm
Dist: 281 cm
Dist: 281 cm
Dist: 281 cm
Dist: 290 cm
Dist: 290 cm
Dist: 290 cm
Dist: 292 cm
Dist: 299 cm
Dist: 304 cm
Dist: 304 cm
Dist: 304 cm
Dist: 304 cm
Dist: 265 cm
Dist: 265 cm
Dist: 265 cm
Dist: 265 cm
Dist: 215 cm
Dist: -1 cm
Dist: -1 cm
Dist: -1 cm
Dist: -1 cm
Dist: -1 cm
Dist: -1 cm
Dist: 268 cm
Dist: 276 cm
Dist: 276 cm
Dist: -1 cm
Dist: 234 cm
Dist: 234 cm
Dist: 210 cm
Dist: 215 cm
Dist: 215 cm
Dist: 215 cm
Dist: 215 cm
Dist: 216 cm
Dist: 216 cm
Dist: 216 cm
Dist: 216 cm
Dist: 208 cm
Dist: 201 cm
Dist: 201 cm
Dist: 201 cm
Dist: 190 cm
Dist: 187 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 194 cm
Dist: 192 cm
Dist: 192 cm
Dist: 185 cm
Dist: 185 cm
Dist: 184 cm
Dist: 184 cm
Dist: 184 cm
Dist: 184 cm
Dist: 185 cm
Dist: 185 cm
Dist: 185 cm
Dist: 185 cm
Dist: 179 cm
Dist: 180 cm
Dist: 180 cm
Dist: 181 cm
Dist: 183 cm
Dist: 186 cm
Dist: 186 cm
Dist: 186 cm
Dist: 186 cm
Dist: 186 cm
Dist: 191 cm
Dist: 192 cm
Dist: 199 cm
Dist: 205 cm
Dist: 204 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 203 cm
Dist: 190 cm
Dist: 190 cm
Dist: 189 cm
Dist: 188 cm
Dist: 189 cm
Dist: 189 cm
Dist: 190 cm
Dist: 190 cm
Dist: 190 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 191 cm
Dist: 192 cm
Dist: 192 cm
Dist: 192 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 193 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
Dist: 194 cm
